Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162102,,1,,
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162103,,2,,
162101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:162104,,3,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1015,CONCEPT-SET,1,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1327,CONCEPT-SET,2,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:678,CONCEPT-SET,3,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1022,CONCEPT-SET,4,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1023,CONCEPT-SET,5,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1024,CONCEPT-SET,6,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1025,CONCEPT-SET,7,,
161430AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1021,CONCEPT-SET,8,,
166550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166543,CONCEPT-SET,1,,
166550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166549,CONCEPT-SET,2,,
166550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166544,CONCEPT-SET,3,,
166550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:166545,CONCEPT-SET,4,,
166550AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:161011,CONCEPT-SET,5,,
166137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1301,,1,,
166137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CIEL:1302,,2,,
